generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,api_key_disabled
gen-1779213827-o6xjF6mk5ovjWkSNWd5U,2026-05-19 18:03:47.050,0.124525,,-0.000385,,0,75486,103,29,256,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,11977,8487,Kilo Code,OpenRouterFree,false
gen-1779213718-PIhc4hoIllTyWqGQgFNj,2026-05-19 18:01:58.397,0.021653,,-0.103255,,0,74213,706,17,68608,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,26223,2724,Kilo Code,OpenRouterFree,false
gen-1779213690-EmmQTXFSY88MQZYvM9yq,2026-05-19 18:01:30.511,0.03652,,-0.08611,,0,73096,581,256,57216,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,22092,3362,Kilo Code,OpenRouterFree,false
gen-1779213556-0RkJgu2IJjtXBiVX9P32,2026-05-19 17:59:16.770,0.024479,,-0.102484,,0,68655,3932,67,68096,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,117215,2028,Kilo Code,OpenRouterFree,false
gen-1779213523-2YlczyYviXN3fkv8eyNt,2026-05-19 17:58:43.555,0.011247,,-0.101521,,0,68018,155,35,67456,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,6590,1671,Kilo Code,OpenRouterFree,false
gen-1779213502-8PmgC5Kl1scmwOZ7B4co,2026-05-19 17:58:22.084,0.011068,,-0.100558,,0,67433,104,14,66816,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,5331,1905,Kilo Code,OpenRouterFree,false
gen-1779213362-k7OXlj4YQwS6w4hgrUBV,2026-05-19 17:56:01.844,0.02865,,-0.082835,,0,66344,580,472,55040,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,21508,3661,Kilo Code,OpenRouterFree,false
gen-1779213342-v1OyDz1T42FmXMcRHgkI,2026-05-19 17:55:41.785,0.094638,,,,0,57184,82,17,0,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,11013,8631,Kilo Code,OpenRouterFree,false
gen-1779213279-t6QnLNuAwvtyiK96STNE,2026-05-19 17:54:39.357,0.014124,,-0.082064,,0,55156,1489,37,54528,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,49931,1831,Kilo Code,OpenRouterFree,false
gen-1779213218-EwVWC7U63e7Q1oGnncJw,2026-05-19 17:53:38.261,0.01732,,-0.075322,,0,53165,1414,444,50048,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,48516,2294,Kilo Code,OpenRouterFree,false
gen-1779213172-eUQbCmV5XxgrxPKtF22Z,2026-05-19 17:52:52.392,0.086532,,-0.000385,,0,50581,994,891,256,deepseek/deepseek-v4-pro-20260423,SiliconFlow,standard,false,true,,tool_calls,tool_calls,39035,6387,Kilo Code,OpenRouterFree,false
